customer_id,first_name,last_name,email,country_code,signup_date,updated_at
1,Ada,Lovelace,ada@example.com,GB,2025-01-01,2025-01-01 09:00:00
2,Grace,Hopper,grace@example.com,US,2025-01-02,2025-01-02 09:00:00
3,Katherine,Johnson,katherine@example.com,US,2025-01-03,2025-01-03 09:00:00
4,Radia,Perlman,radia@example.com,CA,2025-01-04,2025-01-04 09:00:00
5,Margaret,Hamilton,margaret@example.com,US,2025-01-05,2025-01-05 09:00:00
6,Barbara,Liskov,barbara@example.com,US,2025-01-06,2025-01-06 09:00:00
7,Joan,Clarke,joan@example.com,GB,2025-01-07,2025-01-07 09:00:00
8,Karen,Sparck-Jones,karen@example.com,GB,2025-01-08,2025-01-08 09:00:00
9,Shafi,Goldwasser,shafi@example.com,US,2025-01-09,2025-01-09 09:00:00
10,Frances,Allen,frances@example.com,CA,2025-01-10,2025-01-10 09:00:00
11,Lynn,Conway,lynn@example.com,AU,2025-01-11,2025-01-11 09:00:00
12,Sophie,Wilson,sophie@example.com,DE,2025-01-12,2025-01-12 09:00:00
